,Where they Clicked,Whey they Clicked,Help Source,Successfully Helped,Mentor Requested,Mentor Responded,Mentor
967,Marketing,Registration Help,Mentor,1,1,0,Not Requested
968,Marketing,Adding Promo Code,Help Link,0,1,1,Chantal
969,Analytics,Accessing Data,Community Hub,1,1,1,Maya
970,Orders,other,Help Link,1,1,1,Natanael
971,Apps,Registration Help,Help Link,1,1,0,Not Requested
972,Apps,App Functionality,Community Hub,1,0,0,Not Requested
973,Orders,Accessing Data,Help Link,1,1,1,Shaneel
974,Marketing,Registration Help,Help Link,0,1,1,Ben
975,Orders,Accessing Data,Community Hub,1,0,0,Not Requested
976,Marketing,Registration Help,Help Link,1,1,1,Ben
977,Customers,other,Community Hub,0,1,0,Not Requested
978,Orders,Registration Help,Help Link,1,0,0,Not Requested
979,Orders,Registration Help,Mentor,0,1,0,Not Requested
980,Orders,Adding Promo Code,Mentor,1,0,0,Not Requested
981,Orders,Accessing Data,Mentor,0,0,0,Not Requested
982,Apps,App Functionality,Mentor,1,1,1,Shaneel
983,Orders,other,Community Hub,1,1,0,Not Requested
984,Orders,other,Community Hub,1,0,0,Not Requested
985,Finances,Accessing Data,Help Link,0,1,0,Not Requested
986,Marketing,App Functionality,Community Hub,1,1,1,Yik
987,Customers,Accessing Data,Help Link,0,1,0,Not Requested
988,Marketing,Adding Promo Code,Mentor,1,1,1,Yik
989,Discounts,App Functionality,Community Hub,1,1,0,Not Requested
990,Orders,Registration Help,Mentor,1,1,0,Not Requested
991,Analytics,Accessing Data,Community Hub,1,0,0,Not Requested
992,Customers,Registration Help,Community Hub,1,0,0,Not Requested
993,Apps,Accessing Data,Mentor,0,0,0,Not Requested
994,Analytics,Registration Help,Community Hub,1,0,0,Not Requested
995,Home,other,Help Link,0,1,1,Maya
996,Finances,Registration Help,Mentor,1,1,1,Maya
997,Finances,Accessing Data,Mentor,1,1,1,Fahd
998,Orders,other,Help Link,1,1,1,Ben
999,Home,Accessing Data,Help Link,0,1,0,Not Requested
